sample_id,group,condition,replicate,sample_num
U4,1,Control_MAD,1,4
U5,1,Control_MAD,2,5
U6,1,Control_MAD,3,6
U22,1,Low_Nitrogen,1,22
U23,1,Low_Nitrogen,2,23
U24,1,Low_Nitrogen,3,24
U25,1,High_Nitrogen,1,25
U26,1,High_Nitrogen,2,26
U27,1,High_Nitrogen,3,27
U28,1,Low_Phosphate,1,28
U29,1,Low_Phosphate,2,29
U30,1,Low_Phosphate,3,30
U31,1,High_Phosphate,1,31
U32,1,High_Phosphate,2,32
U33,1,High_Phosphate,3,33
U40,1,Ammonia,1,40
U41,1,Ammonia,2,41
U42,1,Ammonia,3,42
U43,1,Urea,1,43
U44,1,Urea,2,44
U45,1,Urea,3,45
U46,1,Glycerol_0.75pct,1,46
U47,1,Glycerol_0.75pct,2,47
U48,1,Glycerol_0.75pct,3,48
